anio,geocodigoFundar,pais,variable,valor,valor_pct,tasa_variacion
1989,BRA,Brasil,share_industrial_gdp,0.256038179633353,25.603817963335302,-3.0167771696101937
1990,BRA,Brasil,share_industrial_gdp,0.255265635308083,25.5265635308083,-0.07725443252700259
1991,BRA,Brasil,share_industrial_gdp,0.235798895901637,23.5798895901637,-1.946673940644601
1992,BRA,Brasil,share_industrial_gdp,0.203731199038425,20.3731199038425,-3.2067696863211985
1993,BRA,Brasil,share_industrial_gdp,0.206741128371661,20.6741128371661,0.3009929333235988
1994,BRA,Brasil,share_industrial_gdp,0.203754204413961,20.3754204413961,-0.29869239577000073
1995,BRA,Brasil,share_industrial_gdp,0.168090573128078,16.809057312807802,-3.5663631285882964
1996,BRA,Brasil,share_industrial_gdp,0.149463330779115,14.9463330779115,-1.8627242348963016
1997,BRA,Brasil,share_industrial_gdp,0.148132662936608,14.813266293660801,-0.1330667842506994
1998,BRA,Brasil,share_industrial_gdp,0.138146294767204,13.8146294767204,-0.998636816940401
1999,BRA,Brasil,share_industrial_gdp,0.142136861571989,14.213686157198898,0.3990566804784983
2000,BRA,Brasil,share_industrial_gdp,0.152712725172558,15.271272517255799,1.0575863600569004
2001,BRA,Brasil,share_industrial_gdp,0.153715591524301,15.3715591524301,0.10028663517430125
2002,BRA,Brasil,share_industrial_gdp,0.144832911050414,14.483291105041399,-0.888268047388701
2003,BRA,Brasil,share_industrial_gdp,0.168799929929891,16.879992992989102,2.396701887947703
2004,BRA,Brasil,share_industrial_gdp,0.177866677035507,17.786667703550698,0.906674710561596
2005,BRA,Brasil,share_industrial_gdp,0.173596511867494,17.3596511867494,-0.4270165168012987
2006,BRA,Brasil,share_industrial_gdp,0.165885739452238,16.5885739452238,-0.7710772415255995
2007,BRA,Brasil,share_industrial_gdp,0.16599634665448,16.599634665447997,0.01106072022419724
2008,BRA,Brasil,share_industrial_gdp,0.165232136564652,16.5232136564652,-0.07642100898279836
2009,BRA,Brasil,share_industrial_gdp,0.152741486623981,15.2741486623981,-1.2490649940670995
2010,BRA,Brasil,share_industrial_gdp,0.149674825311063,14.967482531106299,-0.3066661312918004
2011,BRA,Brasil,share_industrial_gdp,0.138612929983437,13.8612929983437,-1.106189532762599
